stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,station_complex_id,complex_stop_name,complex_display_name,constituent_station_names,station_ids,borough,cbd,daytime_routes,structure_type,complex_latitude,complex_longitude,ada,ada_notes,is_ibx,station_complex_name,station_complex_lat,station_complex_lon
107N,215 St,40.869444,-73.915279,0,107,,,,,,,,,,,,,,False,215 St,,
107S,215 St,40.869444,-73.915279,0,107,,,,,,,,,,,,,,False,215 St,,
108,207 St,40.864621,-73.918822,1,,298.0,207 St,207 St (1),207 St,298,M,False,1,Elevated,40.864621,-73.918822,0.0,,False,207 St (1),40.864621,-73.918822
108N,207 St,40.864621,-73.918822,0,108,,,,,,,,,,,,,,False,207 St,,
108S,207 St,40.864621,-73.918822,0,108,,,,,,,,,,,,,,False,207 St,,
109,Dyckman St,40.860531,-73.925536,1,,299.0,Dyckman St,Dyckman St (1),Dyckman St,299,M,False,1,Elevated,40.860531,-73.925536,1.0,,False,Dyckman St (1),40.860531,-73.925536
109N,Dyckman St,40.860531,-73.925536,0,109,,,,,,,,,,,,,,False,Dyckman St,,
109S,Dyckman St,40.860531,-73.925536,0,109,,,,,,,,,,,,,,False,Dyckman St,,
110,191 St,40.855225,-73.929412,1,,300.0,191 St,191 St (1),191 St,300,M,False,1,Subway,40.855225,-73.929412,0.0,,False,191 St (1),40.855225,-73.929412
110N,191 St,40.855225,-73.929412,0,110,,,,,,,,,,,,,,False,191 St,,
110S,191 St,40.855225,-73.929412,0,110,,,,,,,,,,,,,,False,191 St,,
111,181 St,40.849505,-73.933596,1,,301.0,181 St,181 St (1),181 St,301,M,False,1,Subway,40.849505,-73.933596,0.0,,False,181 St (1),40.849505,-73.933596
111N,181 St,40.849505,-73.933596,0,111,,,,,,,,,,,,,,False,181 St,,
111S,181 St,40.849505,-73.933596,0,111,,,,,,,,,,,,,,False,181 St,,
112,168 St-Washington Hts,40.840556,-73.940133,1,,605.0,168 St-Washington Hts,"168 St-Washington Hts (1,A,C)",168 St; 168 St-Washington Hts,148; 302,M,False,1 A C,Subway,40.8406375,-73.939847,2.0,A C accessible; 1 not accessible,False,"168 St-Washington Hts (1,A,C)",40.8406375,-73.939847
112N,168 St-Washington Hts,40.840556,-73.940133,0,112,,,,,,,,,,,,,,False,168 St-Washington Hts,,
112S,168 St-Washington Hts,40.840556,-73.940133,0,112,,,,,,,,,,,,,,False,168 St-Washington Hts,,
113,157 St,40.834041,-73.94489,1,,303.0,157 St,157 St (1),157 St,303,M,False,1,Subway,40.834041,-73.94489,0.0,,False,157 St (1),40.834041,-73.94489
113N,157 St,40.834041,-73.94489,0,113,,,,,,,,,,,,,,False,157 St,,
113S,157 St,40.834041,-73.94489,0,113,,,,,,,,,,,,,,False,157 St,,
